<118>2024-11-16T18:46:01Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:46:01Z, ConnectionID: 19792, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 60953, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:46:22Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:46:22Z, ConnectionID: 19811, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 51793, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:47:02Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:47:02Z, ConnectionID: 19826, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 57458, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:47:45Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T18:47:45Z, ConnectionID: 20498, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 63065, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:48:02Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:48:02Z, ConnectionID: 19875, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 63021, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:49:00Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T18:49:00Z, ConnectionID: 20542, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 62126, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:49:02Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:49:02Z, ConnectionID: 19907, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 58620, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:50:02Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:50:02Z, ConnectionID: 19957, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 53879, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:50:09Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:50:09Z, ConnectionID: 19966, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 64797, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:51:08Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:51:08Z, ConnectionID: 19994, SrcIP: 8.8.8.8, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 50474, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:51:23Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T18:51:23Z, ConnectionID: 20643, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 54034, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:52:23Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:52:23Z, ConnectionID: 20029, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 63013, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:52:23Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 1, FirstPacketSecond: 2024-11-16T18:52:23Z, ConnectionID: 20680, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 50653, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 1, GID: 3, SID: 19187, Revision: 7, Message: PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt, Classification: Attempted User Privilege Gain, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

<118>2024-11-16T18:53:23Z  : %FTD-6-430001: DeviceUUID: 75b3ed96-a29b-11ef-aab3-e4feb5aa05e8, InstanceID: 2, FirstPacketSecond: 2024-11-16T18:53:23Z, ConnectionID: 20076, SrcIP: 208.67.222.222, DstIP: 192.168.95.5, SrcPort: 53, DstPort: 58351, Protocol: udp, IngressInterface: outside, EgressInterface: inside, IngressZone: outside_zone, EgressZone: inside_zone, Priority: 2, GID: 1, SID: 254, Revision: 16, Message: PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority, Classification: Potentially Bad Traffic, Client: DNS client, ApplicationProtocol: DNS, IntrusionPolicy: Maximum Detection, ACPolicy: NGFW-Access-Policy, AccessControlRuleName: Inside_Outside_Rule, NAPPolicy: Maximum Detection, InlineResult: Dropped, IngressVRF: Global, EgressVRF: Global

